Sample equal_delay orig_delay nn_delay gain
295 1.962093e+01 2.033063e+01 1.638050e+01 1.942948e-01
296 1.944331e+01 2.037251e+01 1.614527e+01 2.074969e-01
297 1.949067e+01 2.021525e+01 1.627264e+01 1.950316e-01
298 1.932382e+01 2.026204e+01 1.592218e+01 2.141870e-01
299 1.968591e+01 2.089825e+01 1.651609e+01 2.096906e-01
300 1.976574e+01 2.095348e+01 1.659928e+01 2.078033e-01
301 1.979036e+01 2.099218e+01 1.664233e+01 2.072128e-01
302 1.963264e+01 2.096287e+01 1.632887e+01 2.210574e-01
303 1.977764e+01 2.139129e+01 1.656018e+01 2.258447e-01
304 1.949548e+01 2.113662e+01 1.596664e+01 2.445981e-01
305 1.959269e+01 2.065208e+01 1.635076e+01 2.082755e-01
306 1.974850e+01 2.105642e+01 1.661372e+01 2.109904e-01
307 1.966325e+01 2.085542e+01 1.638102e+01 2.145441e-01
308 1.971905e+01 2.105005e+01 1.645534e+01 2.182754e-01
309 1.972519e+01 2.114585e+01 1.648856e+01 2.202460e-01
310 1.986479e+01 2.105656e+01 1.690040e+01 1.973808e-01
311 1.982022e+01 2.096674e+01 1.667739e+01 2.045790e-01
312 1.984154e+01 2.078129e+01 1.670314e+01 1.962417e-01
313 1.983993e+01 2.078198e+01 1.670954e+01 1.959601e-01
314 1.951731e+01 2.084497e+01 1.615606e+01 2.249420e-01
315 1.989348e+01 2.105550e+01 1.669928e+01 2.068923e-01
316 1.961590e+01 2.077629e+01 1.643751e+01 2.088333e-01
317 1.975220e+01 2.087220e+01 1.659120e+01 2.051055e-01
318 1.978988e+01 2.092260e+01 1.664863e+01 2.042753e-01
319 1.981400e+01 2.092164e+01 1.656533e+01 2.082201e-01
320 1.993770e+01 2.103458e+01 1.677166e+01 2.026627e-01
321 2.002320e+01 2.143088e+01 1.719930e+01 1.974525e-01
322 1.966712e+01 2.112535e+01 1.640239e+01 2.235683e-01
323 1.991680e+01 2.120467e+01 1.674002e+01 2.105506e-01
324 1.985371e+01 2.094831e+01 1.663280e+01 2.060074e-01
325 1.979025e+01 2.083430e+01 1.644112e+01 2.108626e-01
326 1.966740e+01 2.078464e+01 1.639355e+01 2.112662e-01
327 1.976111e+01 2.084572e+01 1.658375e+01 2.044527e-01
328 1.981446e+01 2.116354e+01 1.675798e+01 2.081672e-01
329 1.980561e+01 2.102266e+01 1.677105e+01 2.022394e-01
330 1.985676e+01 2.112909e+01 1.692148e+01 1.991386e-01
331 1.982170e+01 2.130170e+01 1.668720e+01 2.166256e-01
332 1.963908e+01 2.092552e+01 1.645244e+01 2.137621e-01
333 1.979275e+01 2.079837e+01 1.670648e+01 1.967409e-01
334 1.968589e+01 2.100767e+01 1.657658e+01 2.109273e-01
335 1.968496e+01 2.078049e+01 1.659369e+01 2.014778e-01
336 1.971761e+01 2.101342e+01 1.676516e+01 2.021689e-01
337 1.978272e+01 2.086870e+01 1.665144e+01 2.020853e-01
338 1.974407e+01 2.054114e+01 1.655397e+01 1.941065e-01
339 1.986089e+01 2.097254e+01 1.702694e+01 1.881316e-01
340 1.971254e+01 2.088649e+01 1.664509e+01 2.030693e-01
341 1.963278e+01 2.096756e+01 1.627706e+01 2.237027e-01
342 1.987634e+01 2.104864e+01 1.661051e+01 2.108513e-01
343 1.984616e+01 2.124036e+01 1.675250e+01 2.112891e-01
344 1.978949e+01 2.131847e+01 1.657094e+01 2.226959e-01
345 1.982878e+01 2.143593e+01 1.663317e+01 2.240517e-01
346 1.982200e+01 2.138406e+01 1.668306e+01 2.198363e-01
347 1.981601e+01 2.126537e+01 1.680852e+01 2.095827e-01
348 1.984886e+01 2.126260e+01 1.676164e+01 2.116846e-01
349 1.991874e+01 2.131942e+01 1.669959e+01 2.166960e-01
350 1.962054e+01 2.112834e+01 1.630001e+01 2.285235e-01
351 2.007442e+01 2.112235e+01 1.679095e+01 2.050624e-01
352 1.973110e+01 2.084693e+01 1.613439e+01 2.260542e-01
353 1.976017e+01 2.072215e+01 1.621681e+01 2.174165e-01
354 1.980861e+01 2.079483e+01 1.627101e+01 2.175456e-01
355 1.978982e+01 2.084468e+01 1.622428e+01 2.216584e-01
356 1.975520e+01 2.065752e+01 1.613019e+01 2.191612e-01
357 1.990427e+01 2.124103e+01 1.670624e+01 2.134920e-01
358 1.979775e+01 2.108882e+01 1.619075e+01 2.322594e-01
359 1.967567e+01 2.106345e+01 1.605442e+01 2.378067e-01
360 1.969767e+01 2.092450e+01 1.605366e+01 2.327819e-01
361 1.952310e+01 2.064572e+01 1.585463e+01 2.320622e-01
362 1.945863e+01 2.056616e+01 1.574157e+01 2.345888e-01
363 1.969703e+01 2.096396e+01 1.599323e+01 2.371084e-01
364 1.970020e+01 2.111411e+01 1.581614e+01 2.509208e-01
365 1.978565e+01 2.147015e+01 1.588285e+01 2.602359e-01
366 1.981240e+01 2.127467e+01 1.594162e+01 2.506763e-01
367 1.976584e+01 2.132316e+01 1.609023e+01 2.454108e-01
368 1.965134e+01 2.105508e+01 1.581390e+01 2.489272e-01
369 1.991350e+01 2.103333e+01 1.615835e+01 2.317739e-01
370 1.983730e+01 2.116990e+01 1.601830e+01 2.433458e-01
371 1.984619e+01 2.108562e+01 1.599648e+01 2.413560e-01
372 2.001316e+01 2.098710e+01 1.638299e+01 2.193781e-01
373 1.993236e+01 2.083748e+01 1.635331e+01 2.151975e-01
374 1.964768e+01 2.062490e+01 1.614835e+01 2.170458e-01
375 1.994590e+01 2.123744e+01 1.673206e+01 2.121432e-01
376 1.961007e+01 2.090906e+01 1.594140e+01 2.375842e-01
377 1.958937e+01 2.071434e+01 1.597047e+01 2.290136e-01
378 1.967641e+01 2.084778e+01 1.609730e+01 2.278648e-01
379 1.976607e+01 2.100869e+01 1.635168e+01 2.216704e-01
380 1.978132e+01 2.132148e+01 1.630457e+01 2.352984e-01
381 1.996936e+01 2.122957e+01 1.668362e+01 2.141326e-01
382 1.975108e+01 2.100234e+01 1.649902e+01 2.144198e-01
383 1.983692e+01 2.111812e+01 1.654960e+01 2.163320e-01
384 1.974833e+01 2.072450e+01 1.625981e+01 2.154307e-01
385 1.974142e+01 2.050201e+01 1.635759e+01 2.021467e-01
386 1.964558e+01 2.040254e+01 1.630083e+01 2.010392e-01
387 1.977351e+01 2.086452e+01 1.640085e+01 2.139359e-01
388 1.995655e+01 2.073718e+01 1.681490e+01 1.891424e-01
389 1.973765e+01 2.081018e+01 1.632516e+01 2.155209e-01
390 1.979542e+01 2.080850e+01 1.643353e+01 2.102495e-01
391 1.976458e+01 2.087790e+01 1.634819e+01 2.169621e-01
392 1.969463e+01 2.102320e+01 1.629011e+01 2.251366e-01
393 1.981959e+01 2.131452e+01 1.651824e+01 2.250242e-01
394 1.982278e+01 2.104975e+01 1.647263e+01 2.174431e-01
395 1.964212e+01 2.141944e+01 1.636858e+01 2.358072e-01
396 1.977768e+01 2.126084e+01 1.649685e+01 2.240734e-01
397 1.976644e+01 2.139020e+01 1.644234e+01 2.313143e-01
398 1.976266e+01 2.103872e+01 1.640111e+01 2.204318e-01
399 1.998513e+01 2.135417e+01 1.673331e+01 2.163914e-01
400 1.978213e+01 2.103416e+01 1.640522e+01 2.200678e-01
401 1.958001e+01 2.048904e+01 1.614342e+01 2.120951e-01
402 1.977152e+01 2.069638e+01 1.630586e+01 2.121394e-01
403 1.977983e+01 2.094429e+01 1.624716e+01 2.242677e-01
404 1.952855e+01 2.110615e+01 1.599276e+01 2.422700e-01
405 2.000190e+01 2.134339e+01 1.680816e+01 2.124888e-01
406 1.994998e+01 2.148399e+01 1.665249e+01 2.248887e-01
407 2.011898e+01 2.148814e+01 1.702678e+01 2.076199e-01
